City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Dingle,10.9995,122.6711,77.45,85,88,5.88,PH,1619129466
Soligalich,59.0778,42.2864,39.16,95,24,5.88,RU,1619129930
Corinth,37.9407,22.9573,57.0,56,83,1.01,GR,1619129931
Mubende,0.5606,31.39,61.09,96,99,1.74,UG,1619129931
Sittwe,20.15,92.9,78.58,85,2,8.3,MM,1619129932
Tilichiki,60.4667,166.1,24.76,81,66,3.78,RU,1619129932
Lieksa,63.3167,30.0167,32.56,97,90,5.35,FI,1619129933
Prince Rupert,54.3161,-130.3201,57.2,38,1,8.05,CA,1619129678
Batagay,67.6333,134.6333,10.74,90,100,2.33,RU,1619129933
Gombong,-7.6072,109.5142,73.36,84,8,3.09,ID,1619129671
Coquimbo,-29.9533,-71.3436,59.0,82,75,6.91,CL,1619129596
Plouzané,48.3833,-4.6167,53.6,76,0,11.5,FR,1619129934
Pisco,-13.7,-76.2167,70.0,73,0,23.02,PE,1619129358
Havøysund,70.9963,24.6622,32.0,80,40,8.05,NO,1619129935
Bitung,1.4451,125.1824,75.2,94,20,2.3,ID,1619129935
Portalegre,39.2938,-7.4312,60.01,75,72,3.71,PT,1619129936
Erenhot,43.6475,111.9767,53.15,64,2,9.71,CN,1619129936
Gēdo,9.0167,37.45,59.36,62,99,0.78,ET,1619129937
Mossamedes,-15.1961,12.1522,79.25,81,39,2.04,AO,1619129508
Severo-Yeniseyskiy,60.3725,93.0408,10.24,98,71,3.13,RU,1619129937
Atocha,-20.9333,-66.2333,51.71,13,0,12.97,BO,1619129938
Sosnovo-Ozerskoye,52.5249,111.5418,26.51,41,100,7.83,RU,1619129938
Itarema,-2.9248,-39.9167,78.39,81,17,7.34,BR,1619129939
Arrondissement de Libourne,44.9167,-0.25,57.99,71,0,2.3,FR,1619129939
Esso,55.9333,158.7,34.21,85,61,2.04,RU,1619129939
Shingū,33.7333,135.9833,59.16,77,86,8.97,JP,1619129119
Jacmel,18.2342,-72.5347,84.2,70,40,10.36,HT,1619129940
Praia da Vitória,38.7333,-27.0667,57.2,77,75,29.64,PT,1619129941
Kuzhener,56.8111,48.9128,38.52,95,20,4.74,RU,1619129941
Portland,45.5234,-122.6762,66.0,48,75,4.18,US,1619129359
Vardø,70.3705,31.1107,33.8,75,75,4.61,NO,1619129942
Emerald,-23.5333,148.1667,64.4,72,90,10.36,AU,1619129943
Vavuniya,8.7514,80.4971,74.21,97,36,3.13,LK,1619129943
Srednekolymsk,67.45,153.6833,12.36,86,95,3.06,RU,1619129944
Rønne,55.1009,14.7066,42.8,65,11,10.36,DK,1619129944
Ben Gardane,33.1378,11.2197,67.87,66,100,16.22,TN,1619129945
Şırnak,37.5228,42.4594,53.44,33,0,2.95,TR,1619129945
Koungheul,13.9833,-14.8,92.32,16,23,11.97,SN,1619129946
Ahipara,-35.1667,173.1667,65.97,76,98,7.65,NZ,1619129420
Novoselytsya,48.2193,26.2653,48.0,81,60,3.0,UA,1619129946
Obo,5.3998,26.4869,70.38,90,99,3.02,CF,1619129947
Stayner,44.4183,-80.096,41.0,48,68,12.66,CA,1619129947
Richards Bay,-28.783,32.0377,67.68,89,88,3.67,ZA,1619129948
San Juan,-31.5375,-68.5364,68.16,40,4,10.18,AR,1619129948
Yangi Marg`ilon,40.4272,71.7189,51.8,70,0,3.38,UZ,1619129417
Whitehorse,60.7161,-135.0538,46.0,24,1,5.75,CA,1619129949
Henties Bay,-22.116,14.2845,64.0,86,84,3.0,NA,1619129949
Guanagazapa,14.2253,-90.6433,89.6,66,20,16.11,GT,1619129950
Dongsheng,39.8161,109.9776,50.13,73,97,13.62,CN,1619129950
Chumphon,10.3333,98.8333,74.05,90,100,3.38,TH,1619129951
Līvāni,56.3543,26.1758,36.37,81,52,9.91,LV,1619129951
Lompoc,34.6391,-120.4579,55.4,71,44,11.5,US,1619129629
Liuzhou,24.3126,109.3892,73.51,92,5,3.22,CN,1619129952
Gerāsh,27.6652,54.1371,77.0,22,0,2.71,IR,1619129952
Solnechnyy,50.7214,136.6319,55.04,51,100,5.03,RU,1619129952
Muros,42.7762,-9.0603,55.0,86,82,6.4,ES,1619129472
Narón,43.5167,-8.1528,55.99,100,0,4.61,ES,1619129953
Chibombo,-14.6569,28.0706,58.69,90,11,4.72,ZM,1619129954
Road Town,18.4167,-64.6167,80.6,74,20,9.22,VG,1619129954
Alpena,45.0617,-83.4327,48.2,25,1,12.66,US,1619129954
Helong,42.5397,128.9972,50.34,75,100,1.83,CN,1619129955
Trebinje,42.7119,18.3442,50.0,93,75,10.36,BA,1619129883
Katsuura,35.1333,140.3,55.99,55,7,5.01,JP,1619129469
Merauke,-8.4667,140.3333,77.56,93,59,8.23,ID,1619129956
Sokyryany,48.4475,27.4168,45.66,89,73,11.65,UA,1619129956
Nabire,-3.3667,135.4833,77.09,88,100,2.46,ID,1619129957
Dukat,62.55,155.55,18.23,97,100,5.17,RU,1619129359
Bara,10.3744,10.7288,88.63,40,42,8.48,NG,1619129957
Sobolevo,54.4299,31.8996,45.25,93,83,5.77,RU,1619129915
Barcelos,41.5388,-8.6151,57.99,88,0,3.44,PT,1619129958
Gubkinskiy,64.434,76.5026,27.18,82,87,16.31,RU,1619129959
San Isidro,-12.1167,-77.05,69.01,88,90,12.66,PE,1619129959
Tura,25.5198,90.2201,69.44,66,57,1.41,IN,1619129453
San Mateo Ixtatán,15.8319,-91.4781,77.0,31,20,13.8,GT,1619129960
Sutysky,49.0425,28.4173,50.0,82,83,7.65,UA,1619129960
São Lourenço do Sul,-31.3653,-51.9783,71.6,73,0,23.02,BR,1619129960
Frontera,26.9333,-101.45,86.0,53,75,9.33,MX,1619129894
Jiwani,25.05,61.7417,81.81,76,6,9.28,PK,1619129961
Argelia,2.2556,-77.2488,71.2,93,79,1.01,CO,1619129962
Peterhead,57.5058,-1.7981,44.01,87,49,5.75,GB,1619129962
Perth,-31.9333,115.8333,64.99,55,0,10.36,AU,1619129902
Lastoursville,-0.8143,12.7287,74.79,93,93,2.42,GA,1619129963
Mbandaka,0.0487,18.2603,75.29,79,14,3.6,CD,1619129963
Moose Factory,51.2585,-80.6094,37.4,60,90,9.22,CA,1619129429
Pacific Grove,36.6177,-121.9166,57.99,67,90,12.66,US,1619129964
Ylivieska,64.0833,24.55,35.01,91,100,1.99,FI,1619129964
Cuxhaven,53.8718,8.6909,43.0,81,20,16.11,DE,1619129965
Ayacucho,-13.1583,-74.2239,53.19,87,75,6.62,PE,1619129965
Miramar,25.9873,-80.2323,82.99,57,40,9.22,US,1619129683
Ponta Delgada,37.7333,-25.6667,59.0,72,40,33.38,PT,1619129966
Naze,28.3667,129.4833,69.8,83,75,17.27,JP,1619129380
Lorengau,-2.0226,147.2712,82.27,78,100,3.98,PG,1619129392
Llanes,43.4198,-4.7549,57.0,82,31,4.16,ES,1619129966
Reconquista,-29.15,-59.65,69.48,67,100,5.73,AR,1619129967
Shahrud,36.4182,54.9763,70.36,36,68,4.0,IR,1619129968
Priargunsk,50.3691,119.1012,34.11,47,48,17.72,RU,1619129968
Encruzilhada do Sul,-30.5439,-52.5219,63.93,64,18,9.24,BR,1619129968
Yaqui,27.3667,-110.1667,78.8,22,90,12.66,MX,1619129969
Ust-Kuyga,70.0167,135.6,2.05,96,97,2.71,RU,1619129452
Mīrābād,30.4362,61.8383,73.63,12,0,20.54,AF,1619129969
Voznesen'ye,61.0106,35.4781,35.51,93,26,6.33,RU,1619129970
Matagami,49.7502,-77.6328,37.4,44,1,13.8,CA,1619129970
Tautira,-17.7333,-149.15,86.0,66,20,9.22,PF,1619129971
Aykhal,66.0,111.5,23.09,94,99,25.77,RU,1619129858
Turka,49.1541,23.0297,35.01,85,100,1.63,UA,1619129971
Safi,32.2994,-9.2372,62.92,85,81,11.45,MA,1619129972
Rawlins,41.7911,-107.2387,54.0,15,1,17.27,US,1619129778
Anadyr,64.75,177.4833,10.4,85,0,11.18,RU,1619129926
Inuvik,68.3499,-133.7218,24.8,58,36,4.61,CA,1619129973
Mehamn,71.0357,27.8492,35.6,64,40,8.05,NO,1619129486
Kattivākkam,13.2167,80.3167,82.4,83,40,4.61,IN,1619129973
Necochea,-38.5473,-58.7368,61.0,87,100,1.01,AR,1619129974
Nyurba,63.2842,118.3319,26.2,93,100,13.0,RU,1619129966
Kanel,15.4916,-13.1763,95.0,21,0,2.3,SN,1619129974
Kyzyl-Suu,42.3414,78.0056,26.64,46,11,9.31,KG,1619129975
Zhangaözen,43.3,52.8,64.89,14,95,22.26,KZ,1619129976
Mpongwe,-13.5091,28.155,61.66,85,23,5.88,ZM,1619129976
Puerto Carreño,6.189,-67.4859,91.44,43,69,9.84,CO,1619129976
Kamenka,51.3223,42.7678,43.0,87,66,4.63,RU,1619129977
Atasū,48.6814,71.6433,30.88,47,26,11.36,KZ,1619129457
Hinton,53.4001,-117.5857,37.4,35,100,11.5,CA,1619129977
Srīvardhan,18.0333,73.0167,80.1,73,100,8.88,IN,1619129978
Andra,62.5147,65.8878,37.53,88,98,9.35,RU,1619129978
Gambēla,8.25,34.5833,73.96,83,100,0.89,ET,1619129440
Neepawa,50.2289,-99.4664,66.99,14,20,16.11,CA,1619129703
Cervo,43.6702,-7.4101,54.0,87,100,7.05,ES,1619129979
Lagoa,39.05,-27.9833,56.46,78,47,42.08,PT,1619129976
Ambilobe,-13.2,49.05,72.99,88,94,3.13,MG,1619129384
Dulovo,43.8167,27.15,57.0,39,100,1.99,BG,1619129981
Ikwiriri,-7.9562,38.9716,71.69,96,71,2.48,TZ,1619129981
Kota Kinabalu,5.9749,116.0724,77.0,78,20,5.75,MY,1619129981
Broome,42.2506,-75.833,37.0,69,90,12.66,US,1619129412
Mildura,-34.2,142.15,57.2,67,90,3.44,AU,1619129982
Amstetten,48.1229,14.8721,41.0,82,43,1.86,AT,1619129983
Severnoye,56.3491,78.3619,27.7,86,9,2.17,RU,1619129983
Bismil,37.8486,40.6658,51.8,76,0,6.91,TR,1619129777
Manokwari,-0.8667,134.0833,78.76,77,100,2.98,ID,1619129845
Bon Air,37.5249,-77.5578,55.0,36,98,10.89,US,1619129984
Lodja,-3.4833,23.4333,71.82,91,38,0.94,CD,1619129984
Youhao,47.8667,128.8333,51.67,91,100,1.32,CN,1619129985
Westport,41.1415,-73.3579,45.0,46,97,1.99,US,1619129872
Gornyak,50.9942,81.4661,30.29,80,25,14.92,RU,1619129986
Kieta,-6.2167,155.6333,78.12,87,99,5.88,PG,1619129942
Budogoshch',59.2816,32.4707,45.82,74,76,8.52,RU,1619129986
Bud,39.447,-86.1758,54.0,40,68,11.43,US,1619129987
Isabela,6.7085,121.9711,73.4,94,40,1.14,PH,1619129987
Yershov,51.3513,48.2766,44.17,92,100,6.87,RU,1619129988
Tahe,52.3333,124.7333,28.99,44,76,9.33,CN,1619129988
Romulus,42.2223,-83.3966,51.01,37,75,9.22,US,1619129810
Bandarbeyla,9.4942,50.8122,82.42,74,43,5.1,SO,1619129989
Baillif,16.0202,-61.7463,80.6,69,20,11.5,GP,1619129989
Pangnirtung,66.1451,-65.7125,21.2,86,75,9.22,CA,1619129456
Chara,56.9064,118.2631,9.37,74,0,2.15,RU,1619129990
Tabou,4.423,-7.3528,80.35,85,79,6.82,CI,1619129875
Nuuk,64.1835,-51.7216,39.2,56,0,1.14,GL,1619129969
Coahuayana Viejo,18.7333,-103.6833,86.0,25,40,11.5,MX,1619129991
Laguna,38.421,-121.4238,72.0,43,1,12.66,US,1619129797
Seoul,37.5683,126.9778,64.4,59,90,12.66,KR,1619129676
Shakhovskaya,56.0283,35.5097,43.11,93,84,10.0,RU,1619129992
Trairi,-3.2778,-39.2689,77.79,83,17,5.23,BR,1619129992
Te Anau,-45.4167,167.7167,51.28,82,91,5.5,NZ,1619129992
Buraidah,26.326,43.975,82.4,20,0,6.91,SA,1619129963
Mbaïki,3.8678,17.9892,69.66,93,100,1.83,CF,1619129993
Salihorsk,52.7876,27.5415,41.2,75,100,7.61,BY,1619129994
Revda,56.801,59.9303,46.4,57,0,11.18,RU,1619129994
Requena,39.4883,-1.1004,55.99,84,100,7.02,ES,1619129995
Mahibadhoo,3.7833,72.9667,82.08,76,96,12.41,MV,1619129995
Teahupoo,-17.8333,-149.2667,86.0,66,20,9.22,PF,1619129996
Sabha,27.0377,14.4283,81.99,17,100,16.31,LY,1619129996
Barkhan,29.8977,69.5256,70.9,27,0,3.62,PK,1619129997
Acapulco de Juárez,16.8634,-99.8901,86.0,58,40,13.8,MX,1619129253
Shamary,57.3434,58.2199,35.62,98,100,5.91,RU,1619129997
São Filipe,14.8961,-24.4956,73.22,72,56,12.44,CV,1619129998
Ambunti,-4.2365,142.8448,76.62,95,100,0.67,PG,1619129998
Taksimo,56.3444,114.8794,18.3,64,0,3.53,RU,1619129999
Ambon City,-3.6954,128.1814,77.0,94,40,5.75,ID,1619129448
Nombre de Jesús,15.35,-86.6833,89.6,66,40,16.11,HN,1619129999
Cururupu,-1.8283,-44.8683,75.22,92,100,2.91,BR,1619130000
Garoowe,8.4054,48.4845,77.18,65,91,7.25,SO,1619130000
Guarapari,-20.6667,-40.4975,77.0,73,75,9.22,BR,1619130001
Sinnamary,5.3833,-52.95,77.74,88,100,13.2,GF,1619130001
Mabaruma,8.2,-59.7833,78.28,79,82,5.82,GY,1619130001
Salinópolis,-0.6136,-47.3561,77.02,87,100,6.73,BR,1619130002
Cedar City,37.6775,-113.0619,62.6,12,20,13.8,US,1619129858
Sandwick,60.0,-1.25,42.8,70,90,9.22,GB,1619130003
Killybegs,54.6333,-8.45,50.0,74,7,5.99,IE,1619130003
Nemuro,43.3236,145.575,35.56,87,98,15.3,JP,1619130004
Pasni,25.2631,63.471,81.7,68,0,11.25,PK,1619130004
Kamina,-8.7386,24.9906,64.58,95,98,2.84,CD,1619130005
Murgab,37.4966,61.9714,55.4,50,5,6.91,TM,1619130005
Vao,-22.6667,167.4833,74.08,74,22,6.06,NC,1619130006
Gupitan,7.7758,125.6406,73.29,92,39,2.66,PH,1619130006
Trofors,65.5333,13.4063,32.0,74,20,3.15,NO,1619130007
